text,clean_text,spam
"Subject: re : update  john ,  i shall be traveling thu and fri this week and mon and tue next week .  please , give me a call tuesday morning and i shall carve out  an hour from my schedule to discuss the paper . stinson will be gone for three  weeks so  we have to do the work without him .  alternatively , we can delay the conversation till next week .  vince  "" john d . martin "" on 09 / 12 / 2000 04 : 23 : 34 pm  to : vkamins @ enron . com  cc :  subject : update  vince ,  sorry i haven ' t been pressing you on the paper but there ' s always more to  do than we have time for . however , i had a phone call from the editor  encouraging me to get the paper to him by christmas so it could serve as  the centerpiece of his energy issue . his comment to me was "" everyone wants  to know what enron ' s doing "" . so , with that said i ' ll try to put together a  list of materials that i have collected and maybe we can have a phone  conversation to get your ideas on a plan to put the paper together . the  harvard cases do a nice job of laying out institutional and historical  details but we will need a "" tack "" or theme to begin the writing process .  by the way , we have managed to delay the spring texas finance festival one  week so that it will not coincide with easter ( hope you can now attend ) .  we didn ' t have too many problems with the easter weekend but there were  some and we would prefer not to use that weekend either .  hope all is going well for you guys . tell stinson hello for me .  your friend ,  john  john d . martin  carr p . collins chair in finance  finance department  baylor university  po box 98004  waco , tx 76798  254 - 710 - 4473 ( office )  254 - 710 - 1092 ( fax )  j _ martin @ baylor . edu  web : http : / / hsb . baylor . edu / html / martinj / home . html",update john shall traveling thu fri week mon tue next week please give call tuesday morning shall carve hour schedule discuss paper stinson gone three weeks work without him alternatively delay conversation till next week vince john martin 2000 vkamins enron com update vince sorry haven pressing paper always however phone call editor encouraging get paper him christmas serve centerpiece his energy issue his comment everyone wants know enron doing said try put together list materials collected maybe phone conversation get ideas plan put paper together harvard cases nice job laying institutional historical details need tack theme begin writing process way managed delay spring texas finance festival week coincide easter hope now attend didn too many problems easter weekend some prefer use weekend either hope going well guys tell stinson hello friend john john martin carr collins chair finance finance department baylor university box 98004 waco 76798 254 710 4473 office 254 710 1092 fax martin baylor edu web http hsb baylor edu html martinj home html,0
"Subject: are you ready to get it ?  hello !  viagra is the # 1 med to struggle with mens ' erectile dysfunction .  like one jokes sais , it is stronq enouqh for a man , but made for a woman ; - )  orderinq viagra online is a very convinient , fast and secure way !  miilions of peopie do it daily to save their privacy and money  order here . . . ",ready get hello viagra med struggle mens erectile dysfunction like jokes sais stronq enouqh man made woman orderinq viagra online convinient fast secure way miilions peopie daily save privacy money order here,1
"Subject: i think you might be interested  hello , i just found a site called graand . com - a free and safe place on the internet to place classified ads . i thought i should invite you to check it out . regards , walker",think might interested hello found site called graand com free safe place internet place classified ads thought should invite check regards walker,1
"Subject: got a mortgage ? 6 . 25 30 yr fixed free instant quote djf  dear  homeowner ,  * 6 . 25 %  30 yr fixed rate mortgage  interest  rates are at their lowest point in 40 years ! we help you find the  best rate for your situation by matching your needs with hundreds  of lenders ! home improvement , refinance , second  mortgage , home equity loans , and more ! even with less  than perfect credit !  click here for a free quote !  lock  in your low fixed rate today  ano  cost out of pocket  ano  obligation  afree  consultation  aall  credit grades accepted  rates as low as  6 . 25 % won ' t stay this low forever click here  * based on mortgage rate as of 5 - 15 - 02 as low as 6 . 25 % see lender  for details  h  apply  now and one of our lending partners will get back to you within  48 hours .  click here !  to be removed please clicking  here . ",got mortgage fixed free instant quote djf dear homeowner fixed rate mortgage interest rates lowest point years help find best rate situation matching needs hundreds lenders home improvement refinance second mortgage home equity loans even less perfect credit click here free quote lock low fixed rate today ano cost pocket ano obligation afree consultation aall credit grades accepted rates low won stay low forever click here based mortgage rate low see lender details apply now lending partners get back within hours click here removed please clicking here,1
"Subject: your advice is appreciated  vince ,  in the morning we were talking about the el paso candidate who thinks he is  above something and is not  willing to take certain project or responsibility . in real life , we also  occasionally have similar stiuation . ( an  example is attached ) .  i would like to have your guidance when such a situation occurs .  zimin  - - - - - - - - - - - - - - - - - - - - - - forwarded by zimin lu / hou / ect on 05 / 02 / 2001 02 : 07 pm  - - - - - - - - - - - - - - - - - - - - - - - - - - -  zimin lu  05 / 02 / 2001 01 : 41 pm  to : paulo issler / hou / ect @ ect  cc :  subject : re : asian option for pavel  our convention is whoever finalizes the model should write the  documentation . it does not make sense  to write one when changes are anticipated . you have been working on this  almost a year , it never  strikes you that we need a documentation ?  i created exotica . xll , does that also give you an excuse not working on  exotica documentation ?  zimin  paulo issler  05 / 02 / 2001 11 : 52 am  to : zimin lu / hou / ect @ ect  cc : tai woo / enron @ enronxgate @ enron , pavel zadorozhny / enron @ enronxgate  subject : re : asian option for pavel  i am surprised that we do not have the documentation ready .  i can make that for you . it is not there because you did not put that  together by the time it was created and all the changes i have made did not  required changes on the functionality .  paulo issler  zimin lu  05 / 02 / 2001 11 : 29 am  to : tai woo / enron @ enronxgate @ enron , paulo issler / hou / ect @ ect  cc : pavel zadorozhny / enron @ enronxgate  subject : re : asian option for pavel  tai woo ,  here are the c - codes for the crudeapo . ' sig ' is the spot  volatility meaning the price volatility within the delivery period .  you should consult with pavel for the definition of this "" extra ""  parameters . we  would like to see the position monitor once you get it running .  we might have some additional suggestions .  paulo ,  why don ' t we have a documentation on crudeapo you worked on ?  i can not find it in exotica help file . please supply that to tai , thanks .  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  from : tai woo / enron @ enronxgate on 05 / 02 / 2001 09 : 55 am  to : paulo issler / hou / ect @ ect  cc : kara maloney / enron @ enronxgate , zimin lu / hou / ect @ ect  subject : asian option for pavel  this morning , zimin told me that pavel is using a special model in evaluating  his asian option portfolio .  he asked me to talk to you in order to access to the code so that i can see  the difference made to the model .  as i cannot find the doc . describing this model , please tell me what that new  input parameter ' sig ' is .  thanks ,",advice appreciated vince morning talking paso candidate thinks above something willing take certain project responsibility real life occasionally similar stiuation example attached like guidance such situation occurs zimin forwarded zimin hou ect 2001 zimin 2001 paulo issler hou ect ect asian option pavel convention whoever finalizes model should write documentation does make sense write changes anticipated working almost year never strikes need documentation created exotica xll does give excuse working exotica documentation zimin paulo issler 2001 zimin hou ect ect tai woo enron enronxgate enron pavel zadorozhny enron enronxgate asian option pavel surprised documentation ready make because put together created changes made required changes functionality paulo issler zimin 2001 tai woo enron enronxgate enron paulo issler hou ect ect pavel zadorozhny enron enronxgate asian option pavel tai woo here codes crudeapo sig spot volatility meaning price volatility within delivery period should consult pavel definition extra parameters like see position monitor once get running might some additional suggestions paulo why don documentation crudeapo worked find exotica help file please supply tai thanks tai woo enron enronxgate 2001 paulo issler hou ect ect kara maloney enron enronxgate zimin hou ect ect asian option pavel morning zimin told pavel using special model evaluating his asian option portfolio asked talk order access code see difference made model cannot find doc describing model please tell input parameter sig thanks,0
"Subject: anti - aging that works . no more botox  no more painful botox sessions . . .  we have the botox replacement cream is stokc !  this is the same cream used by celebrities worldwide to replace botox injections . tom cruise , gisele bundchen , britney spears , nicole kidman . . .  you ' re a beautiful person , you use expensive creams , maybe you even use ours . . . but here you can seva 70 % .  so , stop the pain now ! replace botox now !  3 days worldwide dlelivery  http : / / www . botoxforless . info",anti aging works botox painful botox sessions botox replacement cream stokc same cream used celebrities worldwide replace botox injections tom cruise gisele bundchen britney spears nicole kidman beautiful person use expensive creams maybe even use ours here seva stop pain now replace botox now days worldwide dlelivery http www botoxforless info,1
"Subject: re : new invoice for energy and weather  vince ,  thanks !  ?  can you also let me know who my contact is for getting copy approved by  enron so we can use it in our publications ? ? i will try fiona grant again ,  but i ' m not getting anywhere .  ?  thanks ,  julie  - - - - - original message - - - - -  from : vince . j . kaminski @ enron . com  to : julie  sent : tuesday , april 10 , 2001 9 : 16 pm  subject : re : new invoice for energy and weather  julie ,  i signed the request for a check today .  vince  "" julie "" on 05 / 09 / 2001 04 : 47 : 05 pm  please respond to "" julie ""  to : ? ? "" vincejkaminski ""  cc : ? ?  subject : ? new invoice for energy and weather  vince ,  please find attached a replacement invoice for invoice number 215 . ? this  invoice includes the correction in charges for the weather course , and for  only one attendee for the energy derivatives course .  if you should have any questions , please contact me .  sincerely ,  julie  ( see attached file : enron 283 _ 9 _ 04 _ 01 . doc )",invoice energy weather vince thanks let know contact getting copy approved enron use publications try fiona grant again getting anywhere thanks julie original message vince kaminski enron com julie sent tuesday april 2001 invoice energy weather julie signed request check today vince julie 2001 please respond julie vincejkaminski invoice energy weather vince please find attached replacement invoice invoice number 215 invoice includes correction charges weather course attendee energy derivatives course should questions please contact sincerely julie see attached file enron 283 doc,0
"Subject: re : re [ 4 ] : greetings from london ( to enron )  iris ,  we can invite you for an interview to houston .  what would be a the time for you ?  vince  iris . mack @ bnpparibas . com on 05 / 25 / 2000 11 : 32 : 04 am  to : vince . j . kaminski @ enron . com  cc :  subject : re [ 4 ] : greetings from london ( to enron )  hi ,  thank you for your prompt response . i am interested in any contacts you  may have in your rolodex .  also , i would be opened to talk to enron as well . please let me know  more  details .  kind regards ,  iris  internet  from : vince . j . kaminski @ enron . com on 25 / 05 / 2000 16 : 19 gmt  to : iris mack  cc : vince . j . kaminski , stinson . gibner , grant . masson , pinnamaneni . krishnarao ,  vasant . shanbhogue  bcc :  subject : re : re [ 2 ] : greetings from london ( to enron )  iris ,  i shall go through my rolodex and try to find some good leads for you . i left  investment banking 8 years ago and this field changes very fast .  alternatively , would you be interested in a company like enron  or another energy company in houston ?  please , let me know .  vince  iris . mack @ bnpparibas . com on 05 / 25 / 2000 09 : 20 : 01 am  to : vince . j . kaminski @ enron . com  cc :  subject : re [ 2 ] : greetings from london ( to enron )  hi ,  how are you ? thank you kindly for your email . sorry i have not  responded  sooner .  currently i am working in derivatives structured products and risk  management at bnp paribas in london . although i currently enjoy living and  working in london , i may need to return to the states - because of my mother ' s  failing health .  do you know of any good contacts at investment banks that i may forward  my  details to ?  for your information , i have attached my cv . ( please see attached file :  iris marie mack . doc ) .  thank you in advance for your time and consideration .  kind regards ,  iris mack  44 ( 0 ) 20 7595 8665 ( work )  44 ( 0 ) 20 7229 9986 ( home )  ( see attached file : iris marie mack . doc )  internet  from : vince . j . kaminski @ enron . com on 04 / 04 / 2000 15 : 03 gmt  to : iris mack  cc : vince . j . kaminski  bcc :  subject : re : greetings from london ( to enron )  iris ,  please , feel free to give me a call when you have a few minutes .  i shall be glad to chat with you .  vince  iris . mack @ paribas . com on 03 / 30 / 2000 02 : 24 : 27 am  to : vkamins @ enron . com  cc : denis . autier @ paribas . com  subject : greetings from london ( to enron )  dear dr . kaminski ,  how are you ? it was nice to meet you at the real options conference  in  nyc .  i was intrigued by some of the comments in your conference talk . in  particular , by your use of real options to hedge financial options . this  is  something i am interested in as well .  when you have some time , could we chat about this topic in a bit more  detail ?  thanks for your time and consideration . hope to hear from you soon .  regards ,  iris mack  - - - - - - - - - - - - - - - -  this message is confidential ; its contents do not constitute a  commitment by bnp paribas group * except where provided  for in a written agreement between you and bnp paribas group * .  any unauthorised disclosure , use or dissemination , either  whole or partial , is prohibited . if you are not the intended  recipient of the message , please notify the sender immediately .  * bnp paribas group is a trading name of bnp sa and paribas sa  ce message est confidentiel ; son contenu ne represente en  aucun cas un engagement de la part du groupe bnp paribas *  sous reserve de tout accord conclu par ecrit entre vous et le  groupe bnp paribas * . toute publication , utilisation ou diffusion ,  meme partielle , doit etre autorisee prealablement . si vous n ' etes  pas destinataire de ce message , merci d ' en avertir immediatement  l ' expediteur .  * le groupe bnp paribas est le nom commercial utilise par bnp sa et paribas  sa  ( see attached file : iris marie mack . doc )  - iris marie mack . doc",greetings london enron iris invite interview houston vince iris mack bnpparibas com 2000 vince kaminski enron com greetings london enron thank prompt response interested contacts may rolodex opened talk enron well please let know details kind regards iris internet vince kaminski enron com 2000 gmt iris mack vince kaminski stinson gibner grant masson pinnamaneni krishnarao vasant shanbhogue bcc greetings london enron iris shall through rolodex try find some good leads left investment banking years ago field changes fast alternatively interested company like enron another energy company houston please let know vince iris mack bnpparibas com 2000 vince kaminski enron com greetings london enron thank kindly email sorry responded sooner currently working derivatives structured products risk management bnp paribas london although currently enjoy living working london may need return states because mother failing health know good contacts investment banks may forward details information attached please see attached file iris marie mack doc thank advance consideration kind regards iris mack 7595 8665 work 7229 9986 home see attached file iris marie mack doc internet vince kaminski enron com 2000 gmt iris mack vince kaminski bcc greetings london enron iris please feel free give call few minutes shall glad chat vince iris mack paribas com 2000 vkamins enron com denis autier paribas com greetings london enron dear kaminski nice meet real options conference nyc intrigued some comments conference talk particular use real options hedge financial options something interested well some chat topic bit detail thanks consideration hope hear soon regards iris mack message confidential contents constitute commitment bnp paribas group except where provided written agreement between bnp paribas group unauthorised disclosure use dissemination either whole partial prohibited intended recipient message please notify sender immediately bnp paribas group trading name bnp paribas message est confidentiel son contenu represente aucun cas engagement part groupe bnp paribas sous reserve tout accord conclu par ecrit entre vous groupe bnp paribas toute publication utilisation diffusion meme partielle doit etre autorisee prealablement vous etes pas destinataire message merci avertir immediatement expediteur groupe bnp paribas est nom commercial utilise par bnp paribas see attached file iris marie mack doc iris marie mack doc,0
"Subject: re : alp presentation  vince ,  thank you for the invitation . i will attend the presentation , but have  another commitment for dinner .  please indicate the specific room for the presentation when it is known .  thanks ,  wil  at 08 : 13 am 4 / 10 / 01 - 0500 , you wrote :  > on behalf of enron corp . i would like to invite you to an alp project  > presentation by a group of students  > of jesse h . jones graduate school of management , rice university .  >  > the students will present the results of a research project regarding  > electronic trading  > platforms in the energy industry .  >  > the presentation will be held on may 7 , at 4 : 00 p . m . at enron , 1400 smith .  >  > we would also like to invite you to dinner , following the presentation .  >  >  > vince kaminski  >  > vincent kaminski  > managing director - research  > enron corp .  > 1400 smith street  > room ebl 962  > houston , tx 77002 - 7361  >  > phone : ( 713 ) 853 3848  > ( 713 ) 410 5396 ( cell )  > fax : ( 713 ) 646 2503  > e - mail : vkamins @ enron . com",alp presentation vince thank invitation attend presentation another commitment dinner please indicate specific room presentation known thanks wil 0500 wrote behalf enron corp like invite alp project presentation group students jesse jones graduate school management rice university students present results research project regarding electronic trading platforms energy industry presentation held may enron 1400 smith like invite dinner following presentation vince kaminski vincent kaminski managing director research enron corp 1400 smith street room ebl 962 houston 77002 7361 phone 713 853 3848 713 410 5396 cell fax 713 646 2503 mail vkamins enron com,0
"Subject: public affairs organizational announcement  i am pleased to announce the following changes in the government and  regulatory affairs organization :  rick shapiro  ) managing director of government affairs for the americas .  rick is currently leading the government and regulatory affairs teams for the  us and canada . he will now assume responsibility for north and south  america . ricardo charvel ( senior director of government affairs for  mexico ) , jose bestard ( vice president of government affairs for south  america ) , and joe hillings ( vice president of federal government affairs )  will now report to rick . rick and his team will support enron  , s north  american business units as well as the caribbean and southern cone regions .  mark schroeder  ) vice president government affairs for europe , asia and  africa . mark is currently leading the government and regulatory affairs  teams for enron europe . he will now assume the additional responsibility of  supporting the apachi and india organizations . jane wilson will now focus  her attention on enron india and will report to mark as will our government  and regulatory affairs teams serving the apachi region .  mike terraso  ) vice president environment , health & safety and chief  environmental officer . mike is currently serving as vice president of  environment , health and safety for the gas pipeline group . mike has  increasingly become involved in environmental issues facing enron  , s  businesses around the world . mike will retain his current responsibilities  and will assume leadership of the environmental affairs team .  john hardy  ) vice president global project finance . john will report  directly to me and will continue his current responsibilities representing  enron before us and multilateral project finance agencies .  please join in me in congratulating these individuals on their  responsibilities .  attached is a revised organization chart reflecting these changes .  attachment :",public affairs organizational announcement pleased announce following changes government regulatory affairs organization rick shapiro managing director government affairs americas rick currently leading government regulatory affairs teams canada now assume responsibility north south america ricardo charvel senior director government affairs mexico jose bestard vice president government affairs south america joe hillings vice president federal government affairs now report rick rick his team support enron north american business units well caribbean southern cone regions mark schroeder vice president government affairs europe asia africa mark currently leading government regulatory affairs teams enron europe now assume additional responsibility supporting apachi india organizations jane wilson now focus her attention enron india report mark government regulatory affairs teams serving apachi region mike terraso vice president environment health safety chief environmental officer mike currently serving vice president environment health safety gas pipeline group mike increasingly become involved environmental issues facing enron businesses around world mike retain his current responsibilities assume leadership environmental affairs team john hardy vice president global project finance john report directly continue his current responsibilities representing enron before multilateral project finance agencies please join congratulating individuals responsibilities attached revised organization chart reflecting changes attachment,0
